ID,Business Name,Category,Sub-Category,Location,Estimated Roof m²,Phone,Email,Website,Contact Person Name,Contact Person Role,Priority,Outreach Channel,Status,Notes
1,Casa Lajagua,Hotel,Boutique Hotel,Pedasí,400,,,casalajagua.com,,,B,Email,New,
2,La Casa de Pucha (Cabañas),Hotel,B&B,Pedasí,250,,,,,,D,In-Person,New,
3,Ocean Properties Aparthotel & Villas,Hotel,Aparthotel,Pedasí,500,,,,,,B,In-Person,New,
4,Hotel Pacific Pearl,Hotel,Hotel/Restaurant,Playa Los Destiladeros,600,+507-6490-1132,,,,,A,WhatsApp,New,
5,Hotel Posada Los Destiladeros,Hotel,Cabins/Hotel,Los Destiladeros,350,+507-6386-8826,,,,,C,WhatsApp,New,
6,Beach Break Hotel & Surf Camp,Hotel,Hotel/Surf Camp,Playa Venao,800,,,beachbreaksurfcamp.com,,,B,Email,New,
7,El Sitio de Playa Venao,Hotel,Resort,Playa Venao,1200,,,,,,B,In-Person,New,
8,Playa Venao Hotel Resort,Hotel,Resort,Playa Leona,1500,,,,,,B,In-Person,New,
9,Villa Marina Lodge & Condos,Hotel,Lodge/Condos,Pedasí,600,,,,,,B,In-Person,New,
10,Selina Playa Venao,Hotel,Hostel/Co-work,Playa Venao,1000,,,selina.com,,,B,Email,New,
11,Selina Pedasi,Hotel,Hostel/Co-work,Pedasí,800,,,selina.com,,,B,Email,New,
12,Selina River Venao,Hotel,Hostel,Playa Venao,600,,,selina.com,,,B,Email,New,
13,Las Porrocas Backpacker's,Hotel,Hostel,Pedasí,200,,,,,,D,In-Person,New,
14,La Choza de Playa Venao,Hotel,Hostel,Playa Venao,300,,,,,,D,In-Person,New,
15,Hostal Pachamama,Hotel,Hostel,Pedasí,200,,,,,,D,In-Person,New,
16,Wao Jungle Venao,Hotel,Eco-Lodge,Playa Venao,400,,,,,,B,In-Person,New,
17,Eco Venao Lodge,Hotel,Eco-Lodge,Playa Venao,800,,,ecovenao.com,,,B,Email,New,
18,Hotel Villa Romana,Hotel,Hotel,Pedasí,400,,,,,,B,In-Person,New,
19,Hotel Punta Franca,Hotel,Hotel,Los Destiladeros,500,+507-6854-1168,,,,,A,WhatsApp,New,
20,Alaya B&B - Yoga & Surf Retreat,Hotel,B&B/Retreat,Playa Destiladeros,350,,,,,,D,In-Person,New,
21,Hummingbird Inn Pedasi,Hotel,Inn,Punta Toro,300,,,,,,D,In-Person,New,
22,Residencial Santa Catalina Pedasi,Hotel,Residencial,Pedasí,250,,,,,,D,In-Person,New,
23,Hotel Residencial Pedasi,Hotel,Hotel,Pedasí,400,,,,,,B,In-Person,New,
